#t x y z vx vy vz
0.00 -1.96 3.05 -1.47 0.24 4.20 -0.44
0.07 -1.78 3.10 -1.48 -1.13 7.92 -0.36
0.14 -1.84 3.09 -1.55 -3.64 8.99 -0.92
0.21 -2.20 3.37 -1.59 -3.00 7.97 0.07
0.29 -2.48 3.67 -1.57 -4.61 8.18 -0.19
0.36 -2.78 4.09 -1.53 -6.70 7.61 0.60
0.43 -3.26 4.72 -1.63 -9.03 12.64 -2.31
0.50 -3.59 5.49 -1.82 -4.79 10.83 -2.80
0.57 -3.81 6.12 -2.00 -3.17 7.08 -1.93
0.64 -3.92 6.60 -2.16 -5.14 4.29 -1.80
0.71 -4.18 7.07 -2.22 -7.67 6.16 -0.90
0.79 -4.47 7.53 -2.56 -8.51 9.35 -6.52
0.86 -5.16 8.25 -3.19 -10.19 6.91 -9.66
0.93 -5.98 9.20 -3.70 -11.51 11.03 -9.23
1.00 -6.78 10.16 -4.30 -6.30 10.87 -7.73
1.07 -7.06 11.03 -4.85 -4.12 10.97 -8.51
1.14 -7.43 12.22 -5.65 -4.59 16.71 -10.64
1.21 -7.73 13.33 -6.44 -7.60 14.39 -11.16
1.29 -8.32 14.38 -7.18 -9.51 15.17 -10.93
1.36 -9.11 15.56 -7.95 -12.04 17.60 -11.25
1.43 -10.03 16.81 -8.87 -11.96 14.48 -13.51
1.50 -10.92 18.13 -9.89 -13.60 22.39 -14.83
1.57 -11.61 19.83 -10.91 -10.88 24.16 -15.71
1.64 -12.24 21.50 -11.82 -13.90 25.60 -12.70
1.71 -13.17 23.33 -12.76 -12.01 26.98 -14.23
1.79 -14.14 25.09 -13.78 -14.57 24.95 -15.65
1.86 -15.27 27.00 -14.87 -18.52 27.35 -15.17
1.93 -16.64 29.20 -15.81 -24.52 29.78 -15.04
2.00 -18.27 31.71 -16.93 -22.47 35.00 -15.28
2.07 -19.80 34.27 -18.06 -22.15 39.64 -16.56
2.14 -21.30 37.21 -19.24 -17.39 40.43 -15.53
2.21 -22.59 40.06 -20.46 -18.84 38.90 -19.07
2.29 -24.15 42.95 -21.86 -23.28 38.50 -19.20
2.36 -25.95 45.93 -23.15 -24.67 44.05 -19.26
2.43 -27.65 49.07 -24.49 -24.02 44.06 -19.48
2.50 -29.43 52.22 -25.90 -24.55 49.92 -20.18
2.57 -31.22 55.89 -27.41 -25.13 54.78 -21.95
2.64 -33.12 59.79 -28.79 -25.96 54.42 -19.37
2.71 -34.96 63.72 -30.28 -26.41 55.52 -22.13
2.79 -36.91 67.80 -31.91 -28.10 58.17 -24.09
2.86 -38.94 72.01 -33.61 -31.83 63.13 -23.87
2.93 -41.09 76.54 -35.40 -31.62 66.01 -27.92
3.00 -43.20 81.49 -37.46 -31.73 72.84 -28.36
3.07 -45.22 86.95 -39.46 -34.12 79.66 -28.07
3.14 -47.46 92.91 -41.52 -34.65 81.47 -30.33
3.21 -49.77 99.09 -43.71 -36.88 83.41 -30.25
3.29 -52.41 105.53 -45.73 -39.90 89.38 -30.46
3.36 -55.31 112.38 -47.93 -43.19 96.93 -31.60
3.43 -58.50 120.03 -50.16 -42.63 110.45 -30.47
