#t x y z vx vy vz
0.00 -98.00 -120.00 -127.00 -29.00 174.00 93.00
0.00 -98.03 -119.82 -126.90 -28.81 174.23 93.24
0.00 -98.06 -119.64 -126.81 -28.62 174.46 93.49
0.00 -98.09 -119.47 -126.71 -28.43 174.69 93.74
0.00 -98.12 -119.29 -126.62 -28.24 174.92 93.98
0.01 -98.15 -119.11 -126.52 -28.05 175.16 94.23
0.01 -98.17 -118.93 -126.42 -27.86 175.39 94.47
0.01 -98.20 -118.75 -126.33 -27.67 175.62 94.72
0.01 -98.23 -118.57 -126.23 -27.48 175.85 94.97
0.01 -98.26 -118.39 -126.13 -27.28 176.08 95.22
0.01 -98.29 -118.21 -126.04 -27.09 176.32 95.46
0.01 -98.31 -118.03 -125.94 -26.90 176.55 95.71
0.01 -98.34 -117.85 -125.84 -26.70 176.78 95.96
0.01 -98.37 -117.67 -125.74 -26.51 177.02 96.21
0.01 -98.40 -117.49 -125.64 -26.31 177.25 96.46
0.02 -98.42 -117.30 -125.54 -26.12 177.48 96.71
0.02 -98.45 -117.12 -125.45 -25.92 177.72 96.96
0.02 -98.48 -116.94 -125.35 -25.72 177.95 97.21
0.02 -98.50 -116.76 -125.25 -25.53 178.18 97.47
0.02 -98.53 -116.58 -125.15 -25.33 178.42 97.72
0.02 -98.55 -116.39 -125.05 -25.13 178.65 97.97
0.02 -98.58 -116.21 -124.95 -24.93 178.89 98.22
0.02 -98.60 -116.03 -124.85 -24.73 179.12 98.48
0.02 -98.63 -115.84 -124.75 -24.53 179.36 98.73
0.02 -98.66 -115.66 -124.64 -24.33 179.59 98.98
0.03 -98.68 -115.48 -124.54 -24.13 179.83 99.24
0.03 -98.70 -115.29 -124.44 -23.93 180.06 99.49
0.03 -98.73 -115.11 -124.34 -23.73 180.30 99.75
0.03 -98.75 -114.92 -124.24 -23.52 180.54 100.00
0.03 -98.78 -114.74 -124.13 -23.32 180.77 100.26
0.03 -98.80 -114.55 -124.03 -23.12 181.01 100.52
0.03 -98.82 -114.37 -123.93 -22.91 181.25 100.77
0.03 -98.85 -114.18 -123.83 -22.71 181.48 101.03
0.03 -98.87 -114.00 -123.72 -22.50 181.72 101.29
0.03 -98.89 -113.81 -123.62 -22.30 181.96 101.55
0.04 -98.92 -113.63 -123.51 -22.09 182.19 101.80
0.04 -98.94 -113.44 -123.41 -21.88 182.43 102.06
0.04 -98.96 -113.25 -123.31 -21.68 182.67 102.32
0.04 -98.98 -113.07 -123.20 -21.47 182.91 102.58
0.04 -99.00 -112.88 -123.10 -21.26 183.15 102.84
0.04 -99.03 -112.69 -122.99 -21.05 183.38 103.10
0.04 -99.05 -112.50 -122.89 -20.84 183.62 103.36
0.04 -99.07 -112.32 -122.78 -20.63 183.86 103.62
0.04 -99.09 -112.13 -122.67 -20.42 184.10 103.89
0.04 -99.11 -111.94 -122.57 -20.21 184.34 104.15
0.05 -99.13 -111.75 -122.46 -19.99 184.58 104.41
0.05 -99.15 -111.56 -122.35 -19.78 184.82 104.67
0.05 -99.17 -111.37 -122.25 -19.57 185.06 104.94
0.05 -99.19 -111.18 -122.14 -19.35 185.30 105.20
0.05 -99.21 -110.99 -122.03 -19.14 185.54 105.47
0.05 -99.23 -110.80 -121.92 -18.93 185.78 105.73
0.05 -99.25 -110.61 -121.81 -18.71 186.02 106.00
0.05 -99.27 -110.42 -121.71 -18.49 186.26 106.26
0.05 -99.29 -110.23 -121.60 -18.28 186.50 106.53
0.05 -99.31 -110.04 -121.49 -18.06 186.74 106.79
0.06 -99.33 -109.85 -121.38 -17.84 186.98 107.06
0.06 -99.34 -109.66 -121.27 -17.62 187.22 107.33
0.06 -99.36 -109.47 -121.16 -17.40 187.46 107.60
0.06 -99.38 -109.28 -121.05 -17.19 187.71 107.86
0.06 -99.40 -109.08 -120.94 -16.97 187.95 108.13
0.06 -99.41 -108.89 -120.83 -16.74 188.19 108.40
0.06 -99.43 -108.70 -120.72 -16.52 188.43 108.67
0.06 -99.45 -108.51 -120.61 -16.30 188.67 108.94
0.06 -99.46 -108.31 -120.49 -16.08 188.92 109.21
0.06 -99.48 -108.12 -120.38 -15.86 189.16 109.48
0.07 -99.50 -107.93 -120.27 -15.63 189.40 109.75
0.07 -99.51 -107.73 -120.16 -15.41 189.65 110.02
0.07 -99.53 -107.54 -120.05 -15.18 189.89 110.29
0.07 -99.54 -107.34 -119.93 -14.96 190.13 110.57
0.07 -99.56 -107.15 -119.82 -14.73 190.38 110.84
0.07 -99.57 -106.95 -119.71 -14.51 190.62 111.11
0.07 -99.59 -106.76 -119.59 -14.28 190.86 111.39
0.07 -99.60 -106.56 -119.48 -14.05 191.11 111.66
0.07 -99.62 -106.37 -119.36 -13.82 191.35 111.93
0.07 -99.63 -106.17 -119.25 -13.59 191.59 112.21
0.08 -99.64 -105.98 -119.13 -13.36 191.84 112.48
0.08 -99.66 -105.78 -119.02 -13.13 192.08 112.76
0.08 -99.67 -105.58 -118.90 -12.90 192.33 113.03
0.08 -99.68 -105.39 -118.79 -12.67 192.57 113.31
0.08 -99.70 -105.19 -118.67 -12.44 192.82 113.59
0.08 -99.71 -104.99 -118.56 -12.21 193.06 113.87
0.08 -99.72 -104.79 -118.44 -11.97 193.31 114.14
0.08 -99.73 -104.60 -118.32 -11.74 193.55 114.42
0.08 -99.75 -104.40 -118.20 -11.51 193.80 114.70
0.08 -99.76 -104.20 -118.09 -11.27 194.05 114.98
0.09 -99.77 -104.00 -117.97 -11.03 194.29 115.26
0.09 -99.78 -103.80 -117.85 -10.80 194.54 115.54
0.09 -99.79 -103.60 -117.73 -10.56 194.78 115.82
0.09 -99.80 -103.40 -117.61 -10.32 195.03 116.10
0.09 -99.81 -103.20 -117.50 -10.09 195.28 116.38
0.09 -99.82 -103.00 -117.38 -9.85 195.52 116.66
0.09 -99.83 -102.80 -117.26 -9.61 195.77 116.94
0.09 -99.84 -102.60 -117.14 -9.37 196.02 117.22
0.09 -99.85 -102.40 -117.02 -9.13 196.26 117.51
0.09 -99.86 -102.20 -116.90 -8.89 196.51 117.79
0.10 -99.87 -102.00 -116.78 -8.64 196.76 118.07
0.10 -99.88 -101.80 -116.66 -8.40 197.01 118.36
0.10 -99.89 -101.60 -116.53 -8.16 197.25 118.64
0.10 -99.90 -101.40 -116.41 -7.92 197.50 118.93
0.10 -99.90 -101.20 -116.29 -7.67 197.75 119.21
0.10 -99.91 -100.99 -116.17 -7.43 198.00 119.50
0.10 -99.92 -100.79 -116.05 -7.18 198.24 119.78
0.10 -99.93 -100.59 -115.92 -6.93 198.49 120.07
0.10 -99.93 -100.38 -115.80 -6.69 198.74 120.36
0.10 -99.94 -100.18 -115.68 -6.44 198.99 120.64
0.11 -99.95 -99.98 -115.55 -6.19 199.24 120.93
0.11 -99.95 -99.77 -115.43 -5.94 199.49 121.22
0.11 -99.96 -99.57 -115.31 -5.69 199.74 121.51
0.11 -99.96 -99.36 -115.18 -5.44 199.98 121.80
0.11 -99.97 -99.16 -115.06 -5.19 200.23 122.09
0.11 -99.97 -98.96 -114.93 -4.94 200.48 122.38
0.11 -99.98 -98.75 -114.81 -4.69 200.73 122.67
0.11 -99.98 -98.54 -114.68 -4.44 200.98 122.96
0.11 -99.99 -98.34 -114.56 -4.18 201.23 123.25
0.11 -99.99 -98.13 -114.43 -3.93 201.48 123.54
0.12 -100.00 -97.93 -114.30 -3.67 201.73 123.83
0.12 -100.00 -97.72 -114.18 -3.42 201.98 124.12
0.12 -100.00 -97.51 -114.05 -3.16 202.23 124.42
0.12 -100.01 -97.31 -113.92 -2.91 202.48 124.71
0.12 -100.01 -97.10 -113.79 -2.65 202.73 125.00
0.12 -100.01 -96.89 -113.67 -2.39 202.98 125.30
0.12 -100.01 -96.68 -113.54 -2.13 203.23 125.59
0.12 -100.02 -96.48 -113.41 -1.87 203.48 125.89
0.12 -100.02 -96.27 -113.28 -1.61 203.73 126.18
0.12 -100.02 -96.06 -113.15 -1.35 203.98 126.48
0.13 -100.02 -95.85 -113.02 -1.09 204.23 126.77
0.13 -100.02 -95.64 -112.89 -0.83 204.48 127.07
0.13 -100.02 -95.43 -112.76 -0.57 204.73 127.37
0.13 -100.02 -95.22 -112.63 -0.30 204.98 127.66
0.13 -100.02 -95.01 -112.50 -0.04 205.23 127.96
0.13 -100.02 -94.80 -112.37 0.22 205.48 128.26
0.13 -100.02 -94.59 -112.24 0.49 205.74 128.56
0.13 -100.02 -94.38 -112.11 0.76 205.99 128.85
0.13 -100.02 -94.17 -111.97 1.02 206.24 129.15
0.13 -100.02 -93.96 -111.84 1.29 206.49 129.45
0.14 -100.02 -93.75 -111.71 1.56 206.74 129.75
0.14 -100.02 -93.54 -111.58 1.83 206.99 130.05
0.14 -100.01 -93.33 -111.44 2.09 207.24 130.35
0.14 -100.01 -93.11 -111.31 2.36 207.50 130.66
0.14 -100.01 -92.90 -111.18 2.64 207.75 130.96
0.14 -100.01 -92.69 -111.04 2.91 208.00 131.26
0.14 -100.00 -92.48 -110.91 3.18 208.25 131.56
0.14 -100.00 -92.26 -110.77 3.45 208.50 131.86
0.14 -100.00 -92.05 -110.64 3.72 208.75 132.17
0.14 -99.99 -91.84 -110.50 4.00 209.01 132.47
0.15 -99.99 -91.62 -110.37 4.27 209.26 132.78
0.15 -99.98 -91.41 -110.23 4.55 209.51 133.08
0.15 -99.98 -91.19 -110.10 4.82 209.76 133.38
0.15 -99.97 -90.98 -109.96 5.10 210.01 133.69
0.15 -99.97 -90.76 -109.82 5.38 210.27 134.00
0.15 -99.96 -90.55 -109.68 5.66 210.52 134.30
0.15 -99.96 -90.33 -109.55 5.93 210.77 134.61
0.15 -99.95 -90.12 -109.41 6.21 211.02 134.91
0.15 -99.94 -89.90 -109.27 6.49 211.28 135.22
0.15 -99.94 -89.69 -109.13 6.78 211.53 135.53
0.16 -99.93 -89.47 -108.99 7.06 211.78 135.84
0.16 -99.92 -89.25 -108.85 7.34 212.03 136.14
0.16 -99.92 -89.04 -108.72 7.62 212.28 136.45
0.16 -99.91 -88.82 -108.58 7.91 212.54 136.76
0.16 -99.90 -88.60 -108.44 8.19 212.79 137.07
0.16 -99.89 -88.38 -108.30 8.47 213.04 137.38
0.16 -99.88 -88.16 -108.15 8.76 213.29 137.69
0.16 -99.87 -87.95 -108.01 9.05 213.55 138.00
0.16 -99.86 -87.73 -107.87 9.33 213.80 138.31
0.16 -99.85 -87.51 -107.73 9.62 214.05 138.62
0.17 -99.84 -87.29 -107.59 9.91 214.30 138.94
0.17 -99.83 -87.07 -107.45 10.20 214.56 139.25
0.17 -99.82 -86.85 -107.30 10.49 214.81 139.56
0.17 -99.81 -86.63 -107.16 10.78 215.06 139.87
0.17 -99.80 -86.41 -107.02 11.07 215.31 140.19
0.17 -99.79 -86.19 -106.87 11.36 215.57 140.50
0.17 -99.78 -85.97 -106.73 11.66 215.82 140.81
0.17 -99.77 -85.75 -106.59 11.95 216.07 141.13
0.17 -99.75 -85.53 -106.44 12.24 216.32 141.44
0.17 -99.74 -85.31 -106.30 12.54 216.58 141.76
0.18 -99.73 -85.09 -106.15 12.83 216.83 142.07
0.18 -99.71 -84.86 -106.01 13.13 217.08 142.39
0.18 -99.70 -84.64 -105.86 13.43 217.33 142.71
0.18 -99.69 -84.42 -105.71 13.72 217.59 143.02
0.18 -99.67 -84.20 -105.57 14.02 217.84 143.34
0.18 -99.66 -83.97 -105.42 14.32 218.09 143.66
0.18 -99.64 -83.75 -105.27 14.62 218.34 143.97
0.18 -99.63 -83.53 -105.13 14.92 218.59 144.29
0.18 -99.61 -83.30 -104.98 15.22 218.85 144.61
0.18 -99.60 -83.08 -104.83 15.52 219.10 144.93
0.19 -99.58 -82.86 -104.68 15.83 219.35 145.25
0.19 -99.57 -82.63 -104.53 16.13 219.60 145.57
0.19 -99.55 -82.41 -104.38 16.43 219.85 145.89
0.19 -99.53 -82.18 -104.24 16.74 220.11 146.21
0.19 -99.51 -81.96 -104.09 17.04 220.36 146.53
0.19 -99.50 -81.73 -103.94 17.35 220.61 146.85
0.19 -99.48 -81.50 -103.79 17.66 220.86 147.17
0.19 -99.46 -81.28 -103.63 17.96 221.11 147.49
0.19 -99.44 -81.05 -103.48 18.27 221.36 147.81
0.19 -99.42 -80.83 -103.33 18.58 221.62 148.13
0.20 -99.40 -80.60 -103.18 18.89 221.87 148.46
0.20 -99.38 -80.37 -103.03 19.20 222.12 148.78
0.20 -99.36 -80.14 -102.88 19.51 222.37 149.10
0.20 -99.34 -79.92 -102.72 19.82 222.62 149.43
0.20 -99.32 -79.69 -102.57 20.14 222.87 149.75
0.20 -99.30 -79.46 -102.42 20.45 223.12 150.07
0.20 -99.28 -79.23 -102.26 20.76 223.37 150.40
0.20 -99.26 -79.00 -102.11 21.08 223.63 150.72
0.20 -99.24 -78.78 -101.96 21.39 223.88 151.05
0.20 -99.22 -78.55 -101.80 21.71 224.13 151.37
0.21 -99.19 -78.32 -101.65 22.03 224.38 151.70
0.21 -99.17 -78.09 -101.49 22.34 224.63 152.02
0.21 -99.15 -77.86 -101.33 22.66 224.88 152.35
0.21 -99.13 -77.63 -101.18 22.98 225.13 152.68
0.21 -99.10 -77.40 -101.02 23.30 225.38 153.00
0.21 -99.08 -77.17 -100.87 23.62 225.63 153.33
0.21 -99.05 -76.94 -100.71 23.94 225.88 153.66
0.21 -99.03 -76.70 -100.55 24.26 226.13 153.99
0.21 -99.00 -76.47 -100.39 24.59 226.38 154.31
0.21 -98.98 -76.24 -100.24 24.91 226.63 154.64
0.22 -98.95 -76.01 -100.08 25.23 226.87 154.97
0.22 -98.93 -75.78 -99.92 25.56 227.12 155.30
0.22 -98.90 -75.54 -99.76 25.88 227.37 155.63
0.22 -98.87 -75.31 -99.60 26.21 227.62 155.96
0.22 -98.85 -75.08 -99.44 26.54 227.87 156.29
0.22 -98.82 -74.85 -99.28 26.86 228.12 156.62
0.22 -98.79 -74.61 -99.12 27.19 228.37 156.95
0.22 -98.76 -74.38 -98.96 27.52 228.61 157.28
0.22 -98.74 -74.15 -98.80 27.85 228.86 157.61
0.22 -98.71 -73.91 -98.64 28.18 229.11 157.94
